ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
1,SENI,25143,1,1,5,AFR,,AFR,495,0
1,SENI,25266,1,7,30,AFR,,DAN,284,0
1,SENI,25266,2,4,30,AFR,,DAN,284,0
1,SENI,25266,2,6,30,AFR,,DAN,284,0
1,SENI,25266,3,3,30,AFR,,DAN,284,0
1,SENI,25266,3,5,30,AFR,,DAN,284,0
1,SENI,25266,4,2,30,AFR,,DAN,284,0
1,SENI,20097,2,7,30,AFR,,ENG,110,D
1,SENI,20097,3,4,30,AFR,,ENG,110,D
1,SENI,20097,3,6,30,AFR,,ENG,110,D
1,SENI,20097,4,3,30,AFR,,ENG,110,D
1,SENI,24917,3,7,30,AFR,,GSS,101,0
1,SENI,24917,4,4,30,AFR,,GSS,101,0
1,SENI,25133,1,3,20,AFR,,GSS,201,0
1,SENI,25133,1,5,20,AFR,,GSS,201,0
1,SENI,25133,2,2,20,AFR,,GSS,201,0
1,SENI,25133,3,1,20,AFR,,GSS,201,0
1,SENI,25355,1,4,20,AFR,,HIS,230,0
1,SENI,25355,1,6,20,AFR,,HIS,230,0
1,SENI,25355,2,3,20,AFR,,HIS,230,0
1,SENI,25355,2,5,20,AFR,,HIS,230,0
1,SENI,25355,3,2,20,AFR,,HIS,230,0
1,SENI,25355,4,1,20,AFR,,HIS,230,0
1,SENI,24986,1,2,15,AFR,,SOC,218,0
1,SENI,24986,2,1,15,AFR,,SOC,218,0
2,SENI,25143,1,5,5,AFR,,AFR,495,0
2,SENI,25143,2,2,5,AFR,,AFR,495,0
2,SENI,25143,3,1,5,AFR,,AFR,495,0
2,SENI,21707,1,2,15,AFR,,ANT,371,0
2,SENI,21707,2,1,15,AFR,,ANT,371,0
2,SENI,24200,1,1,15,AFR,,EDU,250,0
3,SENI,25346,1,4,15,PSY,,AFR,300,0
3,SENI,25346,1,6,15,PSY,,AFR,300,0
3,SENI,25346,2,3,15,PSY,,AFR,300,0
3,SENI,25346,2,5,15,PSY,,AFR,300,0
3,SENI,25346,3,2,15,PSY,,AFR,300,0
3,SENI,25346,4,1,15,PSY,,AFR,300,0
3,SENI,25266,1,7,30,PSY,,DAN,284,0
3,SENI,25266,2,4,30,PSY,,DAN,284,0
3,SENI,25266,2,6,30,PSY,,DAN,284,0
3,SENI,25266,2,7,30,PSY,,DAN,284,0
3,SENI,25266,3,3,30,PSY,,DAN,284,0
3,SENI,25266,3,5,30,PSY,,DAN,284,0
3,SENI,25266,3,7,30,PSY,,DAN,284,0
3,SENI,25266,4,2,30,PSY,,DAN,284,0
3,SENI,24347,1,3,30,PSY,,ENG,297,0
3,SENI,24347,1,5,30,PSY,,ENG,297,0
3,SENI,24347,2,2,30,PSY,,ENG,297,0
3,SENI,24347,3,1,30,PSY,,ENG,297,0
3,SENI,23285,1,1,12,PSY,,PSY,401,B
3,SENI,24974,3,6,3,PSY,,PSY,354,A
3,SENI,25326,1,2,15,PSY,,SOC,488,0
3,SENI,25326,2,1,15,PSY,,SOC,488,0
4,JUNI,25346,1,3,15,PSY,AFR,AFR,300,0
4,JUNI,25346,1,6,15,PSY,AFR,AFR,300,0
4,JUNI,24250,2,3,15,PSY,AFR,ANT,335,0
4,JUNI,24250,2,6,15,PSY,AFR,ANT,335,0
4,JUNI,24250,3,3,15,PSY,AFR,ANT,335,0
4,JUNI,24250,3,6,15,PSY,AFR,ANT,335,0
4,JUNI,25219,2,4,15,PSY,AFR,EDU,340,0
4,JUNI,25219,2,7,15,PSY,AFR,EDU,340,0
4,JUNI,25219,3,4,15,PSY,AFR,EDU,340,0
4,JUNI,25219,3,7,15,PSY,AFR,EDU,340,0
4,JUNI,25219,4,2,15,PSY,AFR,EDU,340,0
4,JUNI,24227,4,3,12,PSY,AFR,ENG,494,0
4,JUNI,25349,1,4,30,PSY,AFR,GSS,340,0
4,JUNI,23277,3,1,3,PSY,AFR,PSY,302,B
4,JUNI,23279,2,1,2,PSY,AFR,PSY,302,D
4,JUNI,23444,1,1,11,PSY,AFR,PSY,315,B
4,JUNI,24192,4,4,32,PSY,AFR,PSY,276,0
4,JUNI,24786,1,2,6,PSY,AFR,PSY,353,B
4,JUNI,24786,2,2,6,PSY,AFR,PSY,353,B
4,JUNI,24786,3,2,6,PSY,AFR,PSY,353,B
4,JUNI,24975,1,5,6,PSY,AFR,PSY,354,B
4,JUNI,24975,2,5,6,PSY,AFR,PSY,354,B
4,JUNI,24975,3,5,6,PSY,AFR,PSY,354,B
4,JUNI,25288,1,7,20,PSY,AFR,SOC,373,0
4,JUNI,25288,4,1,20,PSY,AFR,SOC,373,0
5,SOPH,25346,1,5,15,XBUS,,AFR,300,0
5,SOPH,25346,4,3,15,XBUS,,AFR,300,0
5,SOPH,24596,1,1,16,XBUS,,BIO,108,A
5,SOPH,24597,2,1,16,XBUS,,BIO,108,B
5,SOPH,25306,1,2,30,XBUS,,ENG,382,0
5,SOPH,25306,3,1,30,XBUS,,ENG,382,0
5,SOPH,25282,1,4,30,XBUS,,POL,222,0
5,SOPH,25282,1,7,30,XBUS,,POL,222,0
5,SOPH,25282,2,5,30,XBUS,,POL,222,0
5,SOPH,25282,3,5,30,XBUS,,POL,222,0
5,SOPH,25282,4,1,30,XBUS,,POL,222,0
5,SOPH,25325,1,3,30,XBUS,,POL,330,0
5,SOPH,25325,1,6,30,XBUS,,POL,330,0
5,SOPH,25325,2,2,30,XBUS,,POL,330,0
5,SOPH,25325,3,2,30,XBUS,,POL,330,0
5,SOPH,24943,2,4,30,XBUS,,REL,143,0
5,SOPH,24943,2,7,30,XBUS,,REL,143,0
5,SOPH,24943,3,4,30,XBUS,,REL,143,0
5,SOPH,24943,3,7,30,XBUS,,REL,143,0
5,SOPH,24943,4,4,30,XBUS,,REL,143,0
5,SOPH,24990,2,3,30,XBUS,,REL,162,0
5,SOPH,24990,2,6,30,XBUS,,REL,162,0
5,SOPH,24990,3,3,30,XBUS,,REL,162,0
5,SOPH,24990,3,6,30,XBUS,,REL,162,0
5,SOPH,24990,4,2,30,XBUS,,REL,162,0
6,SOPH,25346,2,2,15,XPRE,,AFR,300,0
6,SOPH,25346,4,2,15,XPRE,,AFR,300,0
6,SOPH,20047,1,5,30,XPRE,,ECO,202,A
6,SOPH,20047,3,5,30,XPRE,,ECO,202,A
6,SOPH,23011,3,1,15,XPRE,,ECO,211,B
6,SOPH,24295,1,2,28,XPRE,,ECO,202,B
6,SOPH,24295,3,2,28,XPRE,,ECO,202,B
6,SOPH,24518,1,1,15,XPRE,,ECO,211,C
6,SOPH,24602,2,1,14,XPRE,,ENG,202,0
6,SOPH,24602,4,1,14,XPRE,,ENG,202,0
6,SOPH,20302,1,4,18,XPRE,,SPA,201,A
6,SOPH,20302,1,7,18,XPRE,,SPA,201,A
6,SOPH,20302,2,5,18,XPRE,,SPA,201,A
6,SOPH,20303,3,3,18,XPRE,,SPA,201,B
6,SOPH,20303,3,6,18,XPRE,,SPA,201,B
6,SOPH,20304,1,3,18,XPRE,,SPA,201,C
6,SOPH,20304,1,6,18,XPRE,,SPA,201,C